searchText|recId
1045 HERBERT AVE, south lake tahoe, CA,USA|1
461 BIG MEADOWS LN, plumas, CA,USA|2
508 HODGSON ST, eureka, CA, 95501,USA|3
4014 AZURE AVE, south lake tahoe, CA,USA|4
16191 W NATALIE  AVE, kerman, CA,USA|5
4311 OVERLAND AVE, culver city, CA, 90230,USA|6
4905 INDIAN WOOD RD, culver city, CA, 90230,USA|7
211 ALPINE  DR, alpine, CA,USA|8
185 ALDON DR, plumas, CA,USA|9
3995 OVERLAND AVE, culver city, CA, 90232,USA|10
1024 47TH ST, emeryville, CA, 94608,USA|11
85 CLAIRVILLE CIR, plumas, CA,USA|12
1 LODGE RD, south lake tahoe, CA,USA|13
10639 YOUNGWORTH RD, culver city, CA, 90230,USA|14
175 Iris Street, bishop less than 10k, CA,USA|15
1260 HOLLY TREE CIR, san benito, CA, 95023,USA|16
13101 WASHINGTON BLVD, culver city, CA, 90066,USA|17
55 CANYON HIGHLANDS DR, oroville, CA, 95966,USA|18
811 MODESTO AVE, south lake tahoe, CA,USA|19
4023 MEADOW RD, south lake tahoe, CA,USA|20
306 BROADWAY, jackson, CA, 95642,USA|21
250 FELICE DR, san benito, CA, 95023,USA|22
33916 CALLE DE BONANZA, san juan capistrano, CA,USA|23
2164 ROYAL AVE, south lake tahoe, CA,USA|24
2300 5TH AVE, oroville, CA, 95965,USA|25
2636 H ST, eureka, CA, 95501,USA|26
462 WELDON AVE, piedmont, CA,USA|27
11208 HARRY CASH RD, siskiyou, CA, 96064,USA|28
1216 T ST, eureka, CA, 95501,USA|29
93 N SALLY ST, san benito, CA, 95023,USA|30
1041 WARFIELD AVE, piedmont, CA,USA|31
212 TABLE MOUNTAIN BLVD, oroville, CA, 95965,USA|32
83 WEST PONDEROSA DR, plumas, CA,USA|33
1633 D ST, eureka, CA, 95501,USA|34
4112 SUMMERTIME LN, culver city, CA, 90230,USA|35
1521 ALBRIGHT DR, san benito, CA, 95023,USA|36
661 4TH ST, san benito, CA, 95023,USA|37
62912 HIGHWAY 96, siskiyou, CA, 96039,USA|38
2593 GLENVIEW CT, san benito, CA, 95023,USA|39
5 SANDRINGHAM PL, piedmont, CA,USA|40
229 E MINNESOTA AVE, siskiyou, CA, 96057,USA|41
7155 CHESTER WARNER VALLEY RD, plumas, CA,USA|42
6350 CHRISTIE AVE, emeryville, CA, 94608,USA|43
1854 ARISTOCRACY DR, plumas, CA,USA|44
33531 PASEO ETERNIDAD, san juan capistrano, CA,USA|45
85 TUSCAN VILLA DR, oroville, CA, 95965,USA|46
5429 KINSTON AVE, culver city, CA, 90230,USA|47
303 LIQUID SUGAR DR, emeryville, CA, 94608,USA|48
116 MONTY WOLF  RD, alpine, CA,USA|49
209 TUCCI AVE, siskiyou, CA, 96057,USA|50
30161 OUTPOST RD, san juan capistrano, CA,USA|51
609 QUAKING ASPEN  RD, alpine, CA,USA|52
310 TINA DR, san benito, CA, 95023,USA|53
17933 FISHER RD, siskiyou, CA, 96094,USA|54
1516 GRAND AVE, piedmont, CA,USA|55
2785 CENTER ST, oroville, CA, 95966,USA|56
125 PINE OAK LN, plumas, CA,USA|57
3434 O ST, eureka, CA, 95501,USA|58
9500 LUCERNE AVE, culver city, CA, 90232,USA|59
3272 FAY AVE, culver city, CA, 90232,USA|60
2713 TERRACE DR, plumas, CA,USA|61
13216 SYLVA RD, siskiyou, CA, 96064,USA|62
1465 65TH ST, emeryville, CA, 94608,USA|63
20 WESTWOOD WAY, oroville, CA, 95966,USA|64
6125 CANTERBURY DR, culver city, CA, 90230,USA|65
2149 FRENCHMAN LAKE RD, plumas, CA,USA|66
27893 CAMINO DEL RIO, san juan capistrano, CA,USA|67
537 PONDEROSA DR, plumas, CA,USA|68
32501 VIVENTE DE MARLITA, san juan capistrano, CA,USA|69
