recId,SeqNumber,seqLength,recId,latitude,longitude,locationLabel
1,0,0,1,,,
2,0,0,2,,,
3,0,0,3,,,
4,0,0,4,,,
5,0,0,5,,,
6,0,0,6,,,
7,0,0,7,,,
8,0,0,8,,,
9,0,0,9,,,
10,0,0,10,,,
11,0,0,11,,,
12,0,0,12,,,
13,0,0,13,,,
14,0,0,14,,,
15,0,0,15,,,
16,0,0,16,,,
17,0,0,17,,,
18,0,0,18,,,
19,0,0,19,,,
20,0,0,20,,,
21,0,0,21,,,
22,1,10,22,23.56303,120.43464,臺灣621嘉義縣民雄鄉東榮村1
22,2,10,22,23.52516,120.4392,臺灣621嘉義縣民雄鄉興南里1
22,3,10,22,23.53938,120.43481,臺灣621嘉義縣民雄鄉文隆村1
22,4,10,22,23.56343,120.4196,臺灣621嘉義縣民雄鄉福權村1
22,5,10,22,23.54841,120.41374,臺灣621嘉義縣民雄鄉中和村1
22,6,10,22,23.5343,120.40836,臺灣621嘉義縣民雄鄉中央村1
22,7,10,22,23.53284,120.43693,臺灣621嘉義縣民雄鄉興中村1
22,8,10,22,23.5189,120.40411,臺灣621嘉義縣民雄鄉山中村1
22,9,10,22,23.57397,120.43778,臺灣621嘉義縣民雄鄉寮頂村1
22,10,10,22,23.54804,120.43352,臺灣621嘉義縣民雄鄉東湖村1
23,1,3,23,50.85291,4.3548,"Boulevard Adolphe Max 50, 1000 Bruxelles, Belgique"
23,2,3,23,50.84993,4.39272,"Avenue Émile Max 50, 1030 Schaerbeek, Belgique"
23,3,3,23,44.3492101,-79.6371661,"50 Max Ave, Barrie, ON L4N, Canada"
24,1,4,24,19.28431,-98.92354,"Calle 30 Oriente, Providencia, 56616 Xico, EDOMEX, México"
24,2,4,24,19.27986,-98.93127,"Calle 30 Oriente, Guadalupana, 56616 Xico, EDOMEX, México"
24,3,4,24,19.30191,-98.93076,"Calle 30 Norte, Avándaro, 56618 Xico, EDOMEX, México"
24,4,4,24,19.30274,-98.93667,"Calle 30 Norte, Independencia, 56617 Xico, EDOMEX, México"
25,0,0,25,,,
26,0,0,26,,,
27,0,0,27,,,
28,0,0,28,,,
29,0,0,29,,,
30,0,0,30,,,
31,0,0,31,,,
32,0,0,32,,,
33,0,0,33,,,
34,0,0,34,,,
35,0,0,35,,,
36,0,0,36,,,
37,0,0,37,,,
38,0,0,38,,,
39,0,0,39,,,
40,0,0,40,,,
41,0,0,41,,,
42,0,0,42,,,
43,0,0,43,,,
44,0,0,44,,,
45,0,0,45,,,
46,0,0,46,,,
47,1,1,47,-29.2765,24.43538,"Output, Siyancuma, Northern Cape, South Africa"
48,0,0,48,,,
49,0,0,49,,,
50,0,0,50,,,
51,0,0,51,,,
52,0,0,52,,,
53,1,3,53,45.76232,-79.40478,"Strong, ON, Canada"
53,2,3,53,44.81626,-70.21815,"Strong, ME, United States"
53,3,3,53,33.11077,-92.35756,"Strong, AR, United States"
54,1,1,54,37.90254,-82.46785,"Hode Rd, Inez, KY 41224, United States"
55,0,0,55,,,
56,0,0,56,,,
57,0,0,57,,,
58,0,0,58,,,
59,0,0,59,,,
60,0,0,60,,,
61,0,0,61,,,
62,0,0,62,,,
63,0,0,63,,,
64,0,0,64,,,
65,0,0,65,,,
66,1,8,66,43.82721,-79.30209,"Faithful Way, Markham, ON L3R, Canada"
66,2,8,66,48.40993,-123.35391,"Faithful St, Victoria, BC V8V, Canada"
66,3,8,66,-36.04395,146.91038,"Faithful St, Glenroy NSW 2640, Australia"
66,4,8,66,-29.86363,150.55704,"Faithful St, Bingara NSW 2404, Australia"
66,5,8,66,-36.04395,146.91038,"Faithful St, Hamilton Valley NSW 2641, Australia"
66,6,8,66,-34.01238,150.73261,"Faithful St, Oran Park NSW 2570, Australia"
66,7,8,66,-37.58181,145.12182,"Faithful Way, Doreen VIC 3754, Australia"
66,8,8,66,-36.44166,146.38324,"Faithful St, Oxley VIC 3678, Australia"
67,1,1,67,17.96945,-76.74554,"2, Jamaica"
68,0,0,68,,,
69,0,0,69,,,
70,0,0,70,,,
71,0,0,71,,,
72,0,0,72,,,
73,0,0,73,,,
74,0,0,74,,,
75,1,1,75,39.72124,-76.29589,"Border Ln, Whiteford, MD 21160, United States"
76,0,0,76,,,
77,0,0,77,,,
78,1,1,78,50.81684,4.42047,"Rue de l'Application, 1160 Auderghem, Belgique"
79,0,0,79,,,
80,1,1,80,38.67882,0.07884,"Calle Server-Tossal, 03720 Benissa (Alicante), España"
